"Position","Credit_Card_Name","Credit_Card_Link","Rewards","Inro_Offer","Annual_Fee","Credit_Score"
1,"Blue Cash Preferred® Card from American Express","https://thepointsguy.com/oc/22036110/?tid=CATEGORY-PAGE&influenced=1&ptv[pageid]=200","6%	6% Cash Back at U.S. supermarkets on up to $6,000 per year in purchases (then 1%)
6%	6% Cash Back on select U.S. streaming subscriptions
3%	3% Cash Back on transit including taxis/rideshare, parking, tolls, trains, buses and more
3%	3% Cash Back at U.S. gas stations
1%	1% Cash Back on other purchases","$250","$0 intro annual fee for the first year, then $95.","670-850"
2,"Bank of America® Customized Cash Rewards credit card","https://thepointsguy.com/oc/22069416/?tid=CATEGORY-PAGE&influenced=1&ptv[pageid]=200","3%	Earn 3% cash back in the category of your choice (up to $2,500 in combined choice category/grocery store/wholesale club quarterly purchases).
2%	Earn automatic 2% at grocery stores and wholesale clubs (up to $2,500 in combined choice category/grocery store/wholesale club quarterly purchases).
1%	Earn unlimited 1% on all other purchases.","$200","$0","670-850"
3,"Chase Freedom Flex℠","https://thepointsguy.com/oc/7537/?tid=CATEGORY-PAGE&influenced=1&ptv[pageid]=200","5%	5% cash back on up to $1,500 in combined purchases in bonus categories each quarter you activate. Enjoy new 5% categories each quarter!
5%	5% cash back on travel purchased through Chase Ultimate Rewards®, our premier rewards program that lets you redeem rewards for cash back, travel, gift cards and more
3%	3% cash back on drugstore purchases and dining at restaurants, including takeout and eligible delivery service
1%	Unlimited 1% cash back on all other purchases.","$200","$0","670-850"
4,"Chase Sapphire Preferred® Card","https://thepointsguy.com/oc/221210132/?tid=CATEGORY-PAGE&influenced=1&ptv[pageid]=200","5x	5x on travel purchased through Chase Ultimate Rewards®
3x	3x on dining.
2x	2x on all other travel purchases, plus more.","60,000 points","$95","670-850"
5,"Capital One Quicksilver Cash Rewards Credit Card","https://thepointsguy.com/oc/22100504/?tid=CATEGORY-PAGE&influenced=1&ptv[pageid]=200","5%	Earn unlimited 5% cash back on hotels and rental cars booked through Capital One Travel, where you'll get Capital One's best prices on thousands of trip options. Terms apply
1.5%	Earn unlimited 1.5% cash back on every purchase, every day","$200","$0","670-850"
6,"Chase Freedom Unlimited®","https://thepointsguy.com/oc/221211280/?tid=CATEGORY-PAGE&influenced=1&ptv[pageid]=200","5%	Enjoy 5% cash back on travel purchased through Chase Ultimate Rewards®, our premier rewards program that lets you redeem rewards for cash back, travel, gift cards and more;
3%	3% cash back on drugstore purchases and dining at restaurants, including takeout and eligible delivery service
1.5%	1.5% on all other purchases","Earn an Additional 1.5% Cash Back","$0","670-850"
7,,,,,,
