"Position","Credit_Card_Name","Credi_Card_Link","Rewards","Intro_Offer","Annual_Fee","Credit_Score"
1,"Capital One SavorOne Cash Rewards Credit Card","https://thepointsguy.com/oc/221012282/?tid=CATEGORY-PAGE&influenced=1&ptv[pageid]=200","10%	Earn 10% cash back on purchases made through Uber & Uber Eats, plus complimentary Uber One membership statement credits through 11/14/2024
8%	Earn 8% cash back on Capital One Entertainment purchases
5%	Earn unlimited 5% cash back on hotels and rental cars booked through Capital One Travel, where you'll get Capital One's best prices on thousands of trip options. Terms apply
3%	Earn unlimited 3% cash back on dining, entertainment, popular streaming services and at grocery stores (excluding superstores like Walmart® and Target®).
1%	Earn 1% on all other purchases.","$200","$0","670-850"
2,"Chase Sapphire Preferred® Card","https://thepointsguy.com/oc/221210132/?tid=CATEGORY-PAGE&influenced=1&ptv[pageid]=200","5x	5x on travel purchased through Chase Ultimate Rewards®
3x	3x on dining.
2x	2x on all other travel purchases, plus more.","60,000 points","$95","670-850"
3,"Capital One Venture Rewards Credit Card","https://thepointsguy.com/oc/22105772/?tid=CATEGORY-PAGE&influenced=1&ptv[pageid]=200","5X	Earn 5X miles on hotels and rental cars booked through Capital One Travel, where you'll get Capital One's best prices on thousands of trip options
2X	Earn unlimited 2X miles on every purchase, every day.","75,000 miles","$95","670-850"
4,"American Express® Gold Card","https://thepointsguy.com/oc/6343/?tid=CATEGORY-PAGE&influenced=1&ptv[pageid]=200","4X	Earn 4X Membership Rewards® Points at Restaurants, plus takeout and delivery in the U.S.
4X	Earn 4X Membership Rewards® points at U.S. supermarkets (on up to $25,000 per calendar year in purchases, then 1X).
3X	Earn 3X Membership Rewards® points on flights booked directly with airlines or on amextravel.com.","60,000 points","$250","670-850"
5,"The Platinum Card® from American Express","https://thepointsguy.com/oc/22504813/?tid=CATEGORY-PAGE&influenced=1&ptv[pageid]=200","5X	Earn 5X Membership Rewards® Points for flights booked directly with airlines or with American Express Travel up to $500,000 on these purchases per calendar year.
5X	Earn 5X Membership Rewards® Points on prepaid hotels booked with American Express Travel.","Earn 80,000 points","$695","670-850"
6,"Bank of America® Premium Rewards® credit card","https://thepointsguy.com/oc/220612356/?tid=CATEGORY-PAGE&influenced=1&ptv[pageid]=200","2X	Earn unlimited 2 points for every $1 spent on travel and dining purchases
1.5X	Unlimited 1.5 points per $1 spent on all other purchases","50,000 points","$95","670-850"
7,"Ink Business Preferred® Credit Card","https://thepointsguy.com/oc/221211973/?tid=CATEGORY-PAGE&influenced=1&ptv[pageid]=200","3X	Earn 3 points per $1 on the first $150,000 spent on travel and select business categories each account anniversary year
1X	Earn 1 point per $1 on all other purchases – with no limit to the amount you can earn","100,000 points","$95","670-850"
8,"Chase Sapphire Reserve®","https://thepointsguy.com/oc/221212097/?tid=CATEGORY-PAGE&influenced=1&ptv[pageid]=200","10x	Earn 10x total points on hotels and car rentals when you purchase travel through Chase Ultimate Rewards®.
5x	Earn 5x total points on flights through Chase Ultimate Rewards®.
3x	Earn 3x points on other travel and dining.
1x	Earn 1 point per $1 spent on all other purchases","60,000 points","$550","740-850"
9,"Alaska Airlines Visa® credit card","https://thepointsguy.com/oc/6951/?tid=CATEGORY-PAGE&influenced=1&ptv[pageid]=200","3X	Earn 3 miles for every $1 spent on eligible Alaska Airlines purchases.
2X	New! Earn 2 miles for every $1 spent on eligible gas, cable, streaming services and local transit including ride share purchases.
1X	Earn 1 mile per $1 spent on all other purchases.","Limited Time Online Offer - 70,000 Bonus Miles","$95","670-850"
10,,,,,,
